year,mth,fincomp_car_rate,bank_car_rate,mortg_rate,fedfund_rate,tbill_3m_rate
1993,3,9.9499998,,7.5,3.0699999,2.97
1993,4,9.6099997,,7.4699998,2.96,2.8900001
1993,5,9.5100002,8.1700001,7.4699998,3,2.96
1993,6,9.4499998,,7.4200001,3.04,3.0999999
1993,7,9.3699999,,7.21,3.0599999,3.05
1993,8,9.21,7.98,7.1100001,3.03,3.05
1993,9,9.21,,6.9200001,3.0899999,2.96
1993,10,9.25,,6.8299999,2.99,3.04
1993,11,8.96,7.6300001,7.1599998,3.02,3.1199999
1993,12,8.8000002,,7.1700001,2.96,3.0799999
1994,1,7.5500002,,7.0599999,3.05,3.02
1994,2,8.9300003,7.54,7.1500001,3.25,3.21
1994,3,9.1300001,,7.6799998,3.3399999,3.52
1994,4,9.71,,8.3199997,3.5599999,3.74
1994,5,9.9200001,7.7600002,8.6000004,4.0100002,4.1900001
1994,6,9.96,,8.3999996,4.25,4.1799998
1994,7,10.17,,8.6099997,4.2600002,4.3899999
1994,8,10.32,8.4099998,8.5100002,4.4699998,4.5
1994,9,10.13,,8.6400003,4.73,4.6399999
1994,10,10.39,,8.9300003,4.7600002,4.96
1994,11,10.53,8.75,9.1700001,5.29,5.25
1994,12,10.72,,9.1999998,5.4499998,5.6399999
1995,1,11.35,,9.1499996,5.5300002,5.8099999
1995,2,11.89,9.6999998,8.8299999,5.9200001,5.8000002
1995,3,11.95,,8.46,5.98,5.73
1995,4,11.74,,8.3199997,6.0500002,5.6700001
1995,5,11.43,9.7799997,7.96,6.0100002,5.6999998
1995,6,11.08,,7.5700002,6,5.5
1995,7,11.01,,7.6100001,5.8499999,5.4699998
1995,8,10.85,9.4399996,7.8600001,5.7399998,5.4099998
1995,9,10.75,,7.6399999,5.8000002,5.2600002
1995,10,10.89,,7.48,5.7600002,5.3000002
1995,11,10.84,9.3599997,7.3800001,5.8000002,5.3499999
1995,12,10.52,,7.1999998,5.5999999,5.1599998
1996,1,9.7399998,,7.0300002,5.5599999,5.02
1996,2,9.8599997,9.1199999,7.0799999,5.2199998,4.8699999
1996,3,9.7700005,,7.6199999,5.3099999,4.96
1996,4,9.6400003,,7.9299998,5.2199998,4.9899998
1996,5,9.3699999,8.9300003,8.0699997,5.2399998,5.02
1996,6,9.5299997,,8.3199997,5.27,5.1100001
1996,7,9.8100004,,8.25,5.4000001,5.1700001
1996,8,10.49,9.1099997,8,5.2199998,5.0900002
1996,9,10.52,,8.2299995,5.3000002,5.1500001
1996,10,10.4,,7.9200001,5.2399998,5.0100002
1996,11,10.31,9.0299997,7.6199999,5.3099999,5.0300002
1996,12,8.6000004,,7.5999999,5.29,4.8699999
1997,1,7.1700001,,7.8200002,5.25,5.0500002
1997,2,7.4400001,8.9200001,7.6500001,5.1900001,5
1997,3,8.0799999,,7.9000001,5.3899999,5.1399999
1997,4,8.5600004,,8.1400003,5.5100002,5.1700001
1997,5,7.8000002,9.1999998,7.9400001,5.5,5.1300001
1997,6,7.6399999,,7.6900001,5.5599999,4.9200001
1997,7,6.71,,7.5,5.52,5.0700002
1997,8,5.9299998,8.9899998,7.48,5.54,5.1300001
1997,9,6.1199999,,7.4299998,5.54,4.9699998
1997,10,7.27,,7.29,5.5,4.9499998
1997,11,6.8499999,8.96,7.21,5.52,5.1500001
1997,12,5.9299998,,7.0999999,5.5,5.1599998
1998,1,6.1199999,,6.9899998,5.5599999,5.0900002
1998,2,6.98,8.8699999,7.04,5.5100002,5.1100001
1998,3,6.4699998,,7.1300001,5.4899998,5.0300002
1998,4,6.1999998,,7.1399999,5.4499998,5
1998,5,6.0700002,8.6899996,7.1399999,5.4899998,5.0300002
1998,6,6.02,,7,5.5599999,4.9899998
1998,7,6.23,,6.9499998,5.54,4.96
1998,8,6,8.71,6.9200001,5.5500002,4.9400001
1998,9,5.9200001,,6.7199998,5.5100002,4.7399998
1998,10,6.3299999,,6.71,5.0700002,4.0799999
1998,11,6.79,8.6199999,6.8699999,4.8299999,4.4400001
1998,12,6.4299998,,6.7199998,4.6799998,4.4200001
1999,1,6.2199998,,6.79,4.6300001,4.3400002
1999,2,6.4299998,8.3400002,6.8099999,4.7600002,4.4499998
1999,3,6.3099999,,7.04,4.8099999,4.48
1999,4,6.52,,6.9200001,4.7399998,4.2800002
1999,5,6.5700002,8.3000002,7.1500001,4.7399998,4.5100002
1999,6,6.5999999,,7.5500002,4.7600002,4.5900002
1999,7,6.6799998,,7.6300001,4.9899998,4.5999999
1999,8,6.2800002,8.4399996,7.9400001,5.0700002,4.7600002
1999,9,6.4699998,,7.8200002,5.2199998,4.73
1999,10,7.0700002,,7.8499999,5.1999998,4.8800001
1999,11,7.4400001,8.6599998,7.7399998,5.4200001,5.0700002
1999,12,7.3200002,,7.9099998,5.3000002,5.23
2000,1,7.1799998,,8.21,5.4499998,5.3400002
2000,2,7.3400002,8.8800001,8.3299999,5.73,5.5700002
2000,3,6.7600002,,8.2399998,5.8499999,5.7199998
2000,4,6.3800001,,8.1499996,6.02,5.6700001
2000,5,6.5100002,9.21,8.5200005,6.27,5.9200001
2000,6,6.4000001,,8.29,6.5300002,5.7399998
2000,7,6.5500002,,8.1499996,6.54,5.9250002
2000,8,7.46,9.6199999,8.0299997,6.5,6.0974998
2000,9,7.1599998,,7.9099998,6.52,6.0339999
2000,10,4.7399998,,7.8000002,6.5100002,6.0999999
2000,11,5.4099998,9.6300001,7.75,6.5100002,6.1925001
2000,12,7.4499998,,7.3800001,6.4000001,5.8979998
2001,1,7.29,,7.0300002,5.98,5.2649999
2001,2,7.1900001,9.1700001,7.0500002,5.4899998,4.9274998
2001,3,6.8000002,,6.9499998,5.3099999,4.5
2001,4,6.8000002,,7.0799999,4.8000002,3.915
2001,5,6.5599999,8.6700001,7.1500001,4.21,3.6800001
2001,6,6.1500001,,7.1599998,3.97,3.506
2001,7,6.1999998,,7.1300001,3.77,3.5425
2001,8,6.4099998,8.3100004,6.9499998,3.6500001,3.388
2001,9,5.4200001,,6.8200002,3.0699999,2.8699999
2001,10,2.71,,6.6199999,2.49,2.2175
2001,11,2.8900001,7.8600001,6.6599998,2.0899999,1.934
2001,12,3.3099999,,7.0700002,1.8200001,1.715
2002,1,4.02,,7,1.73,1.64125
2002,2,6.0700002,7.5,6.8899999,1.74,1.7275
2002,3,5.8699999,,7.0100002,1.73,1.798
2002,4,5.5100002,,6.9899998,1.75,1.7175
2002,5,6.1500001,7.7399998,6.8099999,1.75,1.74
2002,6,6.25,,6.6500001,1.75,1.705
2002,7,3.5799999,,6.4899998,1.73,1.6825
2002,8,2.1700001,5.9499998,6.29,1.74,1.6339999
2002,9,2.29,,6.0900002,1.75,1.63125
2002,10,2.79,,6.1100001,1.75,1.6075
2002,11,3.3099999,5.6700001,6.0700002,1.34,1.26
2002,12,3.48,,6.0500002,1.24,1.2
2003,1,2.8699999,,5.9200001,1.24,1.1720001
2003,2,,,5.8400002,1.26,1.1625
2003,3,,,,,1.1275001
