year,sippst,age,race,mardum,ed,ui_yn,spell,dur,templayoff,censrd,seam1wks,seam2wks,hh_twlth,unemprate,gind,occ,annwg,wba,avgwba,hh_theq,hh_liq,hh_netliq,l_avgwba,l_maxwba,l_wba,l_annwg_spl1,l_annwg_spl2,l_annwg_spl3,l_annwg_spl4,l_annwg_spl5,l_annwg_spl6,l_annwg_spl7,l_annwg_spl8,l_annwg_spl9,l_annwg_spl10,id,hasmortg,l_hh_twlth,maxwba,l_annwg,unemprate2,year1,year2,year3,ind99,ind4,delta
1985,New York,26,White,1,12,yes,1,17,0,0,4,21,93025,6.8000002,2,5,31581.785,218.64313,158.63774,35225.836,65957.344,65957.344,5.0666232,5.3874407,5.3874407,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.27592534,0,18635,1,11.440623,218.6431,10.360335,46.240002,1,0,0,0,0,1
1992,California,34,White,0,15,yes,2,12,0,0,17,35,6850,9.6000004,7,8,11598.111,70.553474,141.66464,0,1723.4141,791.83893,4.9534626,5.3672009,4.256371,8.3230162,.44986501,.27958801,.220351,.085777752,0,0,0,0,0,18637,0,8.8320036,214.26227,9.3585978,92.160004,0,1,0,0,0,1
1992,West Virginia,36,White,0,12,yes,1,38,0,0,13,30,6500,11.3,1,6,4285.2456,189.18706,151.60455,4192.0884,465.7876,465.7876,5.0212755,5.5275435,5.2427363,8.3230162,.03991716,0,0,0,0,0,0,0,0,18649,1,8.7795572,251.52528,8.3629332,127.69,0,1,0,0,0,1
1995,Louisiana,45,Black,1,9,yes,5,3,0,0,3,,60200,6.5999999,2,6,6473.252,122.982,104.09689,49741.469,1457.9396,1457.9396,4.6453218,5.0448928,4.8120379,8.3230162,.44986501,.0025525403,0,0,0,0,0,0,0,18652,0,11.005427,155.22766,8.7754335,43.559998,0,1,0,0,0,1
1994,New York,35,White,1,12,yes,1,8,0,1,8,,32826,6.4000001,4,5,10706.465,227.46301,179.33769,23878.768,2160.6951,-2601.6533,5.1892705,5.5781245,5.4269876,8.3230162,.44986501,.27958801,.220351,.0057826,0,0,0,0,0,18654,1,10.398976,264.57495,9.2786026,40.960003,0,1,0,0,1,0
1985,Minnesota,48,White,1,8,yes,1,26,0,0,17,35,72550,5.9000001,99,99,35408.039,217.49789,188.60399,78954.461,0,0,5.2396493,5.6238298,5.3821893,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.091334254,18663,1,11.192031,276.94803,10.474694,34.810001,1,0,0,1,0,1
1995,Connecticut,38,White,1,12,yes,1,26,0,1,9,26,24874,5.5999999,8,6,18764.541,194.60112,183.77757,1051.4318,12692.65,2830.1182,5.213726,5.6605263,5.2709517,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.18469854,0,0,0,18675,1,10.121578,287.2998,9.8397245,31.359999,0,1,0,0,0,0
1993,California,61,White,1,17,yes,1,26,0,0,13,30,774117,9.3000002,7,1,49256.258,208.03459,141.02936,90449.82,599772.75,598416,4.9489679,5.3377042,5.3377042,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.42143145,18685,1,13.559479,208.03455,10.804791,86.490005,0,1,0,0,0,1
1999,Kentucky,56,White,1,12,yes,1,14,0,1,14,,67100,4.4000001,2,8,19587.74,213.60046,157.7108,36872.148,13415.186,13415.186,5.0607629,5.513051,5.3641071,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.027013959,0,0,18691,1,11.113939,247.90634,9.882659,19.360001,0,0,1,0,0,0
1993,Utah,33,White,1,10,yes,1,25,0,0,11,28,0,3.7,4,6,14075.198,174.95224,164.04884,0,0,0,5.1001644,5.3802638,5.1645131,8.3230162,.44986501,.27958801,.220351,.195071,.0842788,0,0,0,0,18693,0,,217.07953,9.5521698,13.690001,0,1,0,0,1,1
1990,Mississippi,51,Black,1,9,yes,1,6,0,0,6,23,650,8.5,6,6,13499,145,111.22,0,0,-100,4.7115102,4.9767337,4.9767337,8.3230162,.44986501,.27958801,.220351,.195071,.042480208,0,0,0,0,18709,0,6.4769726,144.99998,9.5103712,72.25,0,1,0,0,0,1
1992,New York,29,White,0,16,yes,1,4,0,0,4,21,305331,8.6999998,6,1,50520.254,252.70734,183.91158,167683.53,109458.22,109458.22,5.2144551,5.6329041,5.5322323,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.44676962,18720,0,12.629151,279.47253,10.83013,75.689995,0,1,0,0,0,1
1992,Louisiana,29,White,0,15,yes,1,19,0,0,1,19,2975,7.9000001,8,1,20196.551,168.61511,109.98177,0,2026.176,-2538.5425,4.7003145,5.1276188,5.1276188,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.057622135,0,0,18723,0,7.9979992,168.61513,9.9132671,62.41,0,1,0,0,0,1
1994,Michigan,42,Black,1,16,yes,1,4,0,0,9,26,109847,5.8000002,2,1,40220.676,258.40149,187.64534,26146.174,68524.898,58382.863,5.2345538,5.5545144,5.5545144,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.21877661,18730,1,11.606844,258.40146,10.602137,33.640003,0,1,0,0,0,1
1993,California,28,White,1,9,yes,1,35,0,0,17,35,165,9.3000002,99,99,6150.5879,107.10096,141.02936,0,0,0,4.9489679,5.3377042,4.6737719,8.3230162,.40128726,0,0,0,0,0,0,0,0,18733,0,5.1059456,208.03455,8.7243032,86.490005,0,1,0,1,0,1
1992,New Jersey,30,White,1,8,yes,1,18,0,1,18,,67833,7.5,99,99,20203.07,165.76617,209.49263,0,60552.387,59434.496,5.3446884,5.6592212,5.1105781,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.057944477,0,0,18734,0,11.124804,286.92508,9.9135895,56.25,0,1,0,1,0,0
1991,California,34,White,1,6,yes,2,12,0,0,17,34,3250,7.4000001,4,7,16543.818,82.877396,137.81078,0,0,-1151.5419,4.9258814,5.3058877,4.4173622,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.058742005,0,0,0,18745,0,8.0864105,201.51981,9.713768,54.760002,0,1,0,0,1,1
1993,Massachusetts,31,White,1,12,yes,1,4,0,0,18,,1750,7.1999998,99,99,29614.176,156.77908,211.29984,0,452.24911,-1691.4116,5.3532782,5.6426282,5.0548377,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.21159811,0,18747,0,7.467371,282.20343,10.296008,51.839996,0,1,0,1,0,1
1997,Delaware,22,White,0,12,yes,1,37,0,0,5,22,84227,8.5,4,5,7798.0264,199.20438,157.73576,52931.465,18349.303,17372.107,5.0609212,5.4983931,5.2943316,8.3230162,.44986501,.18874505,0,0,0,0,0,0,0,18748,1,11.34127,244.29904,8.9616261,72.25,0,0,1,0,1,1
1994,Ohio,46,White,1,16,yes,1,17,0,0,17,35,33554,6.0999999,99,99,26169.986,209.89609,168.33138,3049.6667,12346.829,12346.829,5.1259346,5.3466125,5.3466125,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.087958053,0,18754,1,10.420912,209.89606,10.172368,37.209999,0,1,0,1,0,1
1999,Missouri,50,White,1,18,yes,1,17,0,1,17,,147846,3,99,99,17433.465,172.59303,136.95258,3922.5688,101356.04,101356.04,4.9196348,5.1509366,5.1509366,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.11112066,0,0,0,18755,1,11.903927,172.59306,9.7661467,9,0,0,1,1,0,0
1991,Ohio,57,Black,1,12,yes,2,33,0,1,17,35,6350,6.6999998,99,99,13661.125,190.41278,169.43979,0,0,-479.80911,5.1324978,5.589992,5.2491941,8.3230162,.44986501,.27958801,.220351,.195071,.054418303,0,0,0,0,18756,0,8.7562103,267.73349,9.5223093,44.889996,0,1,0,1,0,0
1991,Florida,54,Black,0,3,yes,1,18,0,0,18,35,1500,7.3000002,99,99,5155.0688,176.01016,151.3222,0,0,0,5.0194116,5.3748808,5.1705418,8.3230162,.22472017,0,0,0,0,0,0,0,0,18758,0,7.3132205,215.91414,8.5477362,53.290001,0,1,0,1,0,1
1986,New York,39,White,1,14,yes,1,2,0,0,2,19,65975,6.5,4,5,24804.379,214.65329,161.63391,70597.078,7989.8721,-3458.303,5.0853338,5.3690243,5.3690243,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.034365367,0,18759,1,11.097032,214.65332,10.118775,42.25,1,0,0,0,1,1
1991,Illinois,31,White,1,12,yes,1,8,0,0,5,22,2500,7.1999998,2,6,23558.627,166.81783,172.59694,0,959.61823,959.61823,5.150959,5.2866564,5.1169024,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.21160239,0,0,18766,0,7.8240461,197.68135,10.067247,51.839996,0,1,0,0,0,1
1996,Pennsylvania,38,White,1,12,yes,1,5,0,0,10,27,23000,5.0999999,4,5,43183.48,245.23364,182.49686,16660.293,416.50732,-6264.2705,5.2067327,5.725379,5.5022116,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.28985301,18769,1,10.043249,306.54941,10.673213,26.009998,0,0,1,0,1,1
1994,Texas,41,White,0,12,yes,1,5,0,0,6,23,9716,6.8000002,4,3,19555.613,216.0695,163.10161,0,439.19434,439.19434,5.0943732,5.3756003,5.3756003,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.025372686,0,0,18771,0,9.181529,216.06955,9.8810177,46.240002,0,1,0,0,1,1
1994,Delaware,54,White,1,18,yes,1,15,0,0,11,28,299321,8,2,2,60705.242,233.70782,161.14375,176383.27,76636.766,76636.766,5.0822968,5.4540715,5.4540715,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.63042533,18774,0,12.609272,233.70778,11.013785,64,0,1,0,0,0,1
1992,California,42,White,1,12,yes,1,23,0,0,7,24,6000,8.8999996,1,7,13906.555,108.94709,141.66464,0,4657.876,4657.876,4.9534626,5.3672009,4.6908622,8.3230162,.44986501,.27958801,.220351,.195071,.072224356,0,0,0,0,18775,0,8.6995144,214.26227,9.5401154,79.209991,0,1,0,0,0,1
1994,Kentucky,51,White,1,12,yes,3,35,0,1,18,35,26428,5.4000001,99,99,6289.8271,155.33839,140.58629,17956.699,4876.1152,1941.0979,4.9458213,5.308064,5.0456061,8.3230162,.42367285,0,0,0,0,0,0,0,0,18776,1,10.182179,201.95885,8.7466888,29.160002,0,1,0,1,0,0
1997,California,45,White,0,12,yes,1,62,0,1,10,28,50447,6.4000001,6,8,14467.391,122.0859,123.65605,36319.129,0,0,4.8175039,5.2326899,4.8047247,8.3230162,.44986501,.27958801,.220351,.195071,.11176179,0,0,0,0,18779,1,10.828678,187.29593,9.5796528,40.960003,0,0,1,0,0,0
1992,California,38,White,1,13,yes,1,4,0,0,17,35,50543,8.8999996,2,5,55646.09,194.12836,141.66464,42519.887,372.63007,-4359.772,4.9534626,5.3672009,5.2685194,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.54340732,18786,1,10.83058,214.26227,10.926767,79.209991,0,1,0,0,0,1
2000,California,47,White,1,5,yes,2,2,0,0,5,,1250,5,4,7,14887.048,149.3784,121.44019,0,0,-113.85017,4.7994218,5.1623273,5.0064826,8.3230162,.44986501,.27958801,.220351,.195071,.14035581,0,0,0,0,18789,0,7.130899,174.57025,9.6082468,25,0,0,1,0,1,1
1994,Mississippi,41,"American Indian, Eskimo or Aleut",1,13,yes,3,11,0,1,11,,49672,6.4000001,4,6,15863.911,137.52364,113.37917,42032.133,451.54117,451.54117,4.7307377,4.9802876,4.9237957,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.016776521,0,0,0,18790,1,10.813197,145.51622,9.6718025,40.960003,0,1,0,0,1,0
1999,Minnesota,46,White,1,12,yes,3,7,0,1,7,,94366,2.9000001,7,6,18577.285,102.31152,218.69107,59622.262,6426.7368,6426.7368,5.38766,5.5594273,4.6280222,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.17466874,0,0,0,18793,1,11.454936,259.67407,9.8296947,8.4100008,0,0,1,0,0,0
1992,California,39,White,1,13,yes,2,8,0,0,4,21,50543,9.6999998,2,5,44081.207,134.97589,141.66464,42519.887,372.63007,-4359.772,4.9534626,5.3672009,4.9050961,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.31042853,18796,1,10.83058,214.26227,10.693789,94.089996,0,1,0,0,0,1
1993,Washington,44,White,1,12,yes,1,69,0,1,17,34,143,7.6999998,99,99,22796.973,206.04681,173.60034,0,71.45536,-6411.0835,5.1567559,5.7285705,5.3281035,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.17873782,0,0,18797,0,4.9628448,307.52933,10.034383,59.289997,0,1,0,1,0,0
1993,Arizona,39,White,1,13,yes,1,5,0,0,1,18,18269,6.1999998,4,5,19609.521,167.33217,135.0054,14173.487,90.449821,-3075.2939,4.9053149,5.1199808,5.1199808,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.028125944,0,0,18814,1,9.8129606,167.33215,9.8837709,38.439999,0,1,0,0,1,1
1987,Tennessee,25,White,0,12,yes,3,4,0,0,12,,36278,7,3,7,9573.5449,83.097466,112.87832,30372.793,1772.964,109.30018,4.7263103,5.0077558,4.4200144,8.3230162,.44986501,.27958801,.11428954,0,0,0,0,0,0,18816,1,10.498967,149.5687,9.1667585,49,1,0,0,0,0,1
1993,California,24,White,0,13,yes,1,65,0,1,13,31,402814,9.5,6,5,10401.729,132.41379,141.02936,160196.58,168597.56,165341.38,4.9489679,5.3377042,4.885932,8.3230162,.44986501,.27958801,.19725825,0,0,0,0,0,0,18818,1,12.90623,208.03455,9.2497272,90.25,0,1,0,0,0,0
