"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0456860660427905","0.0531233906836107","0.100311488428706","0.0987675983154614","0.109456456476175","0.108303017909932","0.0441738068555561","0.0497661360517374","0.0821861573780005","0.0843433774128328","0.102842586804119","0.104877042643802","0.0246278592643832","0.0240646991418913","0.0269510858894484","0.026988706037377","0.062590382924533","0.0630610999641065","100","30%"
"t = 0.662355355152468","0.0483527588109698","0.0558328147020863","0.101115033542904","0.0996243365204035","0.110920841764828","0.109744792112625","0.0468467675910535","0.0525609122712923","0.0845646052171777","0.0868640388646297","0.105166721471857","0.107188598522158","0.0253920551478868","0.0249934513165109","0.027590832002549","0.0276305748186973","0.0674364817416883","0.0679639368154513","100","30%"
"t = 0.675789740033223","0.0511304459531215","0.0587500832061408","0.105868176461855","0.104132797608355","0.115207916063402","0.113878397397647","0.049588630880172","0.0556057399104169","0.0899277226441937","0.0923930064668476","0.110099369538664","0.112186530352261","0.0263373657828322","0.0259264576529587","0.0283116051146238","0.0283487815855776","0.0724258397889055","0.0730288964750485","100","30%"
"t = 0.689224124913979","0.0543597562908418","0.061975543357094","0.108033251228757","0.106315538252158","0.116827862659116","0.115616128743004","0.0528572977576797","0.0590208098680179","0.0931046329063558","0.0957907183255558","0.112583100406471","0.114763470545309","0.0274542760605392","0.0271274108995989","0.029498900505548","0.0295389176891129","0.0777964150667693","0.0784534099414038","100","30%"
"t = 0.702658509794734","0.057451202669005","0.0653299793212616","0.111399404933171","0.10942968399082","0.119249200589066","0.117803870338136","0.0559864173513968","0.062593809360765","0.0970543377060063","0.0998986155962143","0.115337796011636","0.117525058520536","0.0284801287055349","0.0283363432456376","0.0307924209734842","0.0308480893192824","0.0825879845699903","0.0833232889024521","100","30%"
"t = 0.716092894675489","0.0605908438902696","0.0683441885360833","0.114219028627601","0.112175804334475","0.122243562945055","0.120816233021859","0.0591905398671061","0.0658891174784599","0.100434515420998","0.103479254591348","0.118966481627046","0.121261510691438","0.0295366034215261","0.0294069972792082","0.0318194738991358","0.031886457009762","0.0870704996538699","0.0878905297869355","100","30%"
"t = 0.729527279556244","0.0636435510524531","0.0713685222459179","0.116994766952341","0.114955950577085","0.124001253357963","0.122682487517281","0.0623060842220751","0.0692181791221318","0.103687849490444","0.107067015952256","0.121129117981591","0.123765919505162","0.0304630960012064","0.0304342511477312","0.032454812072414","0.0325483373377419","0.0906692004964275","0.091569229010526","100","30%"
"t = 0.742961664436999","0.0664961447578691","0.0743778897969872","0.117204409003387","0.115055266346073","0.124659407663428","0.123278099616601","0.0651911899274202","0.0725180780443218","0.105349224053491","0.108901520869419","0.122308323201647","0.124970248340598","0.0308290101461794","0.0307731257936025","0.032998882261603","0.0330757382814476","0.0946723655266381","0.0956454762389506","100","30%"
"t = 0.756396049317755","0.0693360996427403","0.077434035192325","0.120632762480967","0.118372927535981","0.126419253581725","0.125105653489425","0.0681664411384669","0.0759061808256853","0.109586629327356","0.113359077104841","0.124711726202935","0.12745911719596","0.0315298290245368","0.0315126290424422","0.0336157812165982","0.033655916375523","0.0987181259020269","0.0997608349109923","100","30%"
"t = 0.76983043419851","0.0722725070141495","0.0802827962173933","0.123291129307091","0.121071931790022","0.128796274421487","0.127596363309729","0.0712526113341076","0.0791586538298589","0.112924196901364","0.117046492371018","0.127636132143938","0.130524277130852","0.0324222486535338","0.0323826884519368","0.0346091635481109","0.0346688081996224","0.102430308920067","0.103545436005571","100","30%"
"t = 0.783264819079265","0.0750539970909814","0.0835422105189773","0.125770051198437","0.12348366370761","0.130856519849334","0.129440775221507","0.0741259311485121","0.0828283936323305","0.116595469101544","0.12081156280489","0.130197765197304","0.132787351539182","0.0325749114062622","0.0327155713762826","0.0347529331373351","0.0348312241572567","0.105737366129258","0.106922929039968","100","30%"
"t = 0.79669920396002","0.0778215619954052","0.0867636619740484","0.129448176027024","0.126893966825915","0.133709796483709","0.132349543734001","0.0770906927888798","0.0865192384449293","0.120964141776303","0.12529314132257","0.133638336005128","0.136312292433336","0.0332835294285761","0.0336841065077132","0.0356836274780559","0.035826969703096","0.109613524652219","0.110904209795946","100","30%"
"t = 0.810133588840775","0.0804062544282675","0.0898947577031678","0.132624598178546","0.130051722361281","0.135279041605705","0.133958205897966","0.0798221215321417","0.0902131064311486","0.12494567498438","0.129525815589755","0.13571874907575","0.138331929517128","0.0336698472667531","0.0340348760167286","0.0357368692156709","0.0358760914429313","0.112860054509594","0.114218549998131","100","30%"
"t = 0.823567973721531","0.0831352135613316","0.0929353775900293","0.135076366021852","0.132386828430171","0.136808858298812","0.13544739059132","0.0827243480303184","0.0938733447372889","0.128042890185835","0.132806492911258","0.137711949972706","0.140352396219373","0.0348686084960878","0.0350022645453693","0.0372591797221725","0.0374053287560358","0.115807006049271","0.117269609602565","100","30%"
"t = 0.837002358602286","0.0858974583985897","0.0957684823785176","0.138942569887454","0.136061196698119","0.138419827861808","0.136912237802044","0.0856527491161285","0.0972964156227993","0.132304451356956","0.137164831029241","0.139626192939809","0.142143137744353","0.035610645470154","0.0358928935419464","0.0382407666747679","0.0384123590807275","0.118331902884451","0.119880853146133","100","30%"
"t = 0.850436743483041","0.0885418116440501","0.098710009913812","0.142643870385968","0.139488656703478","0.139291758414492","0.137540621417724","0.0884863787340865","0.100888441953952","0.136688815526591","0.141719708962091","0.14097272275856","0.143254148497479","0.0361070206231754","0.0365376312881759","0.0385371243186336","0.038744914753737","0.121136887910358","0.122799905236341","100","30%"
"t = 0.863871128363796","0.0906766064041754","0.101524653308188","0.144882578977267","0.141727503054976","0.140402638510963","0.138625122218173","0.090815636751602","0.104322665653764","0.139897854995413","0.145103769207915","0.142534345090942","0.144754561919332","0.0363795552113772","0.036775548485924","0.0390515839957729","0.0392706003149127","0.123515193033569","0.125275375946979","100","30%"
"t = 0.877305513244552","0.0929579375474287","0.103941047181455","0.14710423111858","0.144101732566952","0.141328020460476","0.14005840846125","0.0933102419455908","0.107358497286647","0.143393724355747","0.148811599131082","0.14388400661287","0.146486206821472","0.0366587918986162","0.0371662600167165","0.0393107658693944","0.0394184294513881","0.125778619291834","0.127590799832499","100","30%"
"t = 0.890739898125307","0.095337806899031","0.106283325113394","0.148177906415093","0.145151811197046","0.142642227423439","0.141437608695978","0.0959574500117595","0.110314375831811","0.145277247559009","0.150856054212201","0.1456455739632","0.148323438107378","0.0373259336937588","0.0379045457375501","0.0402309535839521","0.0403277506846668","0.127059291885034","0.128965477874883","100","30%"
"t = 0.904174283006062","0.0977995325160747","0.108629885869319","0.149813854983495","0.146805935051449","0.14209508940552","0.141121691809504","0.0987387172794344","0.113338615509594","0.14792479360751","0.153527840712706","0.145453932715109","0.148192204097313","0.0376339521700014","0.0382540971942821","0.0406270233253838","0.0407067892943495","0.128907506070762","0.130899376382611","100","30%"
"t = 0.917608667886817","0.100270924301655","0.11076798068097","0.151785775103874","0.149022223193567","0.142236814061519","0.141387781345142","0.101407771541629","0.116137850678701","0.150795156674751","0.156592821683151","0.145792072119659","0.148442470317612","0.0381463605244158","0.0390331169333052","0.0409587708459742","0.0410728212256146","0.13121063391973","0.133227941928766","100","30%"
"t = 0.931043052767572","0.102480374527944","0.112835831490323","0.152779805349127","0.150071690181698","0.143051299038643","0.142071913338165","0.103913248989273","0.11888279384851","0.152950328370498","0.158690676977365","0.147054989443206","0.149450643300896","0.0393572075799656","0.0402150485732356","0.041953553291707","0.0420399823592033","0.132754231793635","0.134864709673942","100","30%"
