"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0411790145745389","-0.000266680052991604","-0.00264132484469816","-0.00217769112931708","-0.00264132484469816","-0.00217769112931708","0.0399802424831363","0.000186752672945608","0.00061786870392263","-0.000137973694067837","0.00061786870392263","-0.000137973694067837","0.00273285867216909","0.000604846978781955","-0.00171318088197631","-0.00149840441701338","-0.00171318088197631","-0.00149840441701338","400","0%"
"t = 0.662355355152468","0.0436953651182719","-0.000216699350087794","-0.00317924734707486","-0.00266312601930735","-0.00317924734707486","-0.00266312601930735","0.0425402543441019","0.000228922173318951","0.000145441218131032","-0.000687587268844321","0.000145441218131032","-0.000687587268844321","0.00277065100498374","0.000552257335973182","-0.00186015799541008","-0.00161523294198782","-0.00186015799541008","-0.00161523294198782","400","0%"
"t = 0.675789740033223","0.0462368439684043","-0.000149739524454715","-0.00255776254024675","-0.00198091784509823","-0.00255776254024675","-0.00198091784509823","0.0451416654597849","0.000283692608675533","0.000624940265343168","-0.000243874013076688","0.000624940265343168","-0.000243874013076688","0.00289661287239332","0.000592588621204556","-0.00173592755256986","-0.00145934684058373","-0.00173592755256986","-0.00145934684058373","400","0%"
"t = 0.689224124913979","0.0486998091868602","-0.000221906171537588","-0.00321535190116826","-0.00259065873350679","-0.00321535190116826","-0.00259065873350679","0.0476817854929753","0.000189742095729004","-6.0983641228444e-05","-0.00102450133320383","-6.0983641228444e-05","-0.00102450133320383","0.0031296874499752","0.000746254032388958","-0.00164046364426701","-0.00132585576807428","-0.00164046364426701","-0.00132585576807428","400","0%"
"t = 0.702658509794734","0.0512284128233532","-0.000178098618714272","-0.00288675058209825","-0.00223002404438875","-0.00288675058209825","-0.00223002404438875","0.0503051084205055","0.000207395952214176","0.00015961447783075","-0.000882370063050285","0.00015961447783075","-0.000882370063050285","0.00320256869615138","0.000748599619570365","-0.00161608500310326","-0.00126417153331734","-0.00161608500310326","-0.00126417153331734","400","0%"
"t = 0.716092894675489","0.0537405508723833","-0.000121363045113822","-0.00247395047018753","-0.00177279588795045","-0.00247395047018753","-0.00177279588795045","0.0529291179311129","0.000233015527872617","0.000552730133133957","-0.000578132489580559","0.000552730133133957","-0.000578132489580559","0.0033114341948873","0.000796881638130343","-0.00158013995350813","-0.00118807863793232","-0.00158013995350813","-0.00118807863793232","400","0%"
"t = 0.729527279556244","0.056241755569172","-6.14513700506043e-05","-0.00241520943640204","-0.00166426678564116","-0.00241520943640204","-0.00166426678564116","0.0555600600338564","0.000256104712868023","0.000588685865309126","-0.000618960233476969","0.000588685865309126","-0.000618960233476969","0.00340253459470665","0.000834846973669542","-0.00155019222175559","-0.00111576826847449","-0.00155019222175559","-0.00111576826847449","400","0%"
"t = 0.742961664436999","0.0586970188204781","6.39527299070188e-05","-0.00174168626626891","-0.000952662839265446","-0.00174168626626891","-0.000952662839265446","0.0581634011442796","0.000342374033466774","0.00123805490051033","-7.37309386754596e-05","0.00123805490051033","-7.37309386754596e-05","0.00339918597615641","0.000789103611073484","-0.00157712339496352","-0.00109773127011561","-0.00157712339496352","-0.00109773127011561","400","0%"
"t = 0.756396049317755","0.0610167774753866","6.9711336360528e-05","-0.00207901838262579","-0.00122068210351103","-0.00207901838262579","-0.00122068210351103","0.0606475133499099","0.000294495996871918","0.000914933433404638","-0.000497900996066649","0.000914933433404638","-0.000497900996066649","0.00352362900906979","0.000881019596226914","-0.00152417451204145","-0.000988789952096969","-0.00152417451204145","-0.000988789952096969","400","0%"
"t = 0.76983043419851","0.0633897915211041","0.000236958656603995","-0.00230855151833791","-0.0014034922672541","-0.00230855151833791","-0.0014034922672541","0.0632019093941434","0.000412023371420567","0.000645578225284586","-0.000842074973586869","0.000645578225284586","-0.000842074973586869","0.00341826004171576","0.000754958762672629","-0.00164190043745835","-0.00105312900996453","-0.00164190043745835","-0.00105312900996453","400","0%"
"t = 0.783264819079265","0.0655947942486741","0.00026748947223684","-0.0026607675384679","-0.00169498558777395","-0.0026607675384679","-0.00169498558777395","0.0656032486715623","0.00038219107427746","0.000272607175502516","-0.00129685261545444","0.000272607175502516","-0.00129685261545444","0.00349702095855171","0.000823970632898365","-0.00166450264365011","-0.00101471928815341","-0.00166450264365011","-0.00101471928815341","400","0%"
"t = 0.79669920396002","0.0677384101878164","0.000356003245242144","-0.00227209265398565","-0.00122561179020072","-0.00227209265398565","-0.00122561179020072","0.0679569152465329","0.000408424397736793","0.000659524393848978","-0.000974635419301299","0.000659524393848978","-0.000974635419301299","0.00353230679561462","0.000863390933342767","-0.00161868772122116","-0.000906692469057679","-0.00161868772122116","-0.000906692469057679","400","0%"
"t = 0.810133588840775","0.0697059597210907","0.000349261336844897","-0.00249354863586535","-0.00138222107949452","-0.00249354863586535","-0.00138222107949452","0.0701458335696519","0.000327189173089053","0.000440566002877558","-0.00128619806141557","0.000440566002877558","-0.00128619806141557","0.00363696659181519","0.000985162782216219","-0.0015821817000179","-0.00080321421571594","-0.0015821817000179","-0.00080321421571594","400","0%"
"t = 0.823567973721531","0.0716517816918728","0.000480450948175249","-0.00205030761255943","-0.000911437779368179","-0.00205030761255943","-0.000911437779368179","0.0723228360733943","0.000387878837224313","0.000908808753363643","-0.000940378287589239","0.000908808753363643","-0.000940378287589239","0.00361683973832118","0.000996925773281884","-0.00165346093033711","-0.000809401107528678","-0.00165346093033711","-0.000809401107528678","400","0%"
