"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0437453910160488","0.0307175875172148","0.0564365266421572","0.0559392323484064","0.0591669182010033","0.0587529914263595","0.0425053230847793","0.0291470423026589","0.0512474610570259","0.0520281821690623","0.0556705954279003","0.0564001580223229","0.0154835441058614","0.0150810491900604","0.0153993614974666","0.0154133408379507","0.0251176209385411","0.025298997225822","400","10%"
"t = 0.662355355152468","0.0464426404319156","0.032407253068346","0.0575801557647861","0.0570325179277357","0.0601885454958764","0.05974725269747","0.0452361794903933","0.0308613651781624","0.0524733909885425","0.053311427923268","0.056913443999108","0.0576538004138364","0.0158307614918293","0.0154444322662812","0.0159018814077429","0.0159095034529531","0.0265628935190972","0.0267663394084222","400","10%"
"t = 0.675789740033223","0.0491644714314251","0.0343019004992035","0.0596494065731853","0.0590142680564415","0.0620724666877258","0.0615738458394004","0.0480073642873685","0.032804186114009","0.05446573849559","0.0553734525977993","0.0588749609603305","0.0596479400045327","0.0164394160057835","0.0160154247651651","0.0165285610185724","0.0165337053325631","0.0281557526943028","0.0283860932083974","400","10%"
"t = 0.689224124913979","0.0519140203211888","0.0360288902646936","0.0609973581002502","0.0602627474027162","0.0633168828240302","0.0627388759137273","0.0508192357263708","0.0345658618100582","0.0558371017813685","0.0568095116686069","0.06018484407869","0.0609991274937011","0.0168974389602401","0.016502005464759","0.0171102547992576","0.0171064750884852","0.0294646843253749","0.0297226639241788","400","10%"
"t = 0.702658509794734","0.0546877035508979","0.0376479443304901","0.0632486687504004","0.0624429283587939","0.0658832652229897","0.0652829618062953","0.0536753237937837","0.0362600457046213","0.0582341620991297","0.0592709872912538","0.0629038756736544","0.063777068206895","0.0169908543344212","0.0166614579078692","0.0173563036417857","0.0173375225801301","0.0306540830968348","0.0309419220197348","400","10%"
"t = 0.716092894675489","0.0574658706972934","0.039460458057402","0.0645843165450511","0.0637222516512411","0.0674082711508237","0.0667578642668207","0.0565522996805446","0.0381814758562076","0.0597736483050713","0.0608779892735893","0.0645973640823761","0.0655111735626049","0.0174971014549517","0.0171740916320439","0.0178326307117516","0.01781086979165","0.0318595948305748","0.0321837150971244","400","10%"
"t = 0.729527279556244","0.0601753613275148","0.0412682139516789","0.0654255608461422","0.0645495191502274","0.0679422215495234","0.0673084478127932","0.0593763042872316","0.0401091440867672","0.0609960116407671","0.0621520597715133","0.0654120834635071","0.0663637203844363","0.018027720024873","0.0177378193226338","0.0181973314967287","0.0181837874507216","0.0333394076188102","0.033703745169244","400","10%"
"t = 0.742961664436999","0.0628831285151778","0.0430853595952601","0.0673596168494413","0.0664306508406747","0.069964731822049","0.0693016055666822","0.0622164543723976","0.0420795044137403","0.0632335621831151","0.0644333294055896","0.0676646270285221","0.0686508987306953","0.0186096688148426","0.0183337132511587","0.0187960775327257","0.0187846878052092","0.0347709406873554","0.0351762033197989","400","10%"
"t = 0.756396049317755","0.0654412239304011","0.0449893476464178","0.0696509321883824","0.0686313195128923","0.0721050579597336","0.0713760384428905","0.0649211158302021","0.0441520766060711","0.0656898044923198","0.0669568988140717","0.0699619207727136","0.0709988347003743","0.0192593909347097","0.0190009254337353","0.0193994657049662","0.0193943474547543","0.0363595133141072","0.0368158665140623","400","10%"
"t = 0.76983043419851","0.067997465905394","0.0467392246057883","0.0707349017014389","0.0696738933335817","0.0725508122595891","0.0718363679278142","0.0676410765865304","0.046083103996102","0.0670908920246752","0.0684208420732819","0.0707132995656548","0.0717673438213034","0.0197622412177047","0.0195067127770849","0.0198080832368864","0.0198062355917527","0.0377079022868038","0.0382127059529947","400","10%"
"t = 0.783264819079265","0.0705944370749644","0.0485381077896746","0.0730699912696547","0.0719309934697054","0.0743165580768891","0.0735432838682607","0.0704148050059634","0.0480886925905435","0.0695923674628685","0.0710448510653426","0.0726703642466425","0.0738072557793513","0.0201726075901011","0.0199416760714488","0.0203901268626341","0.0203759274192869","0.0387780876726462","0.0393354749903575","400","10%"
"t = 0.79669920396002","0.0729910751305478","0.0501546911356108","0.0746618279173904","0.0734901841435944","0.0756972898194592","0.0748853601082725","0.0730040921429096","0.0499325630487225","0.0715376908442682","0.0730133815185094","0.0743472406718246","0.0754459578809289","0.0204362170155259","0.0202352623679326","0.0205963614933545","0.0205789773045149","0.0399217185838519","0.0405287208801344","400","10%"
"t = 0.810133588840775","0.0753021231930309","0.0518314283180156","0.0762659375550331","0.0750069855179713","0.0775919783619141","0.0767218951688267","0.0755158308141663","0.0518431841431915","0.0733197863354889","0.0749182638873838","0.0764259583989273","0.077605053284108","0.0208909997577238","0.0207185331914678","0.0210682416903271","0.0210512105527638","0.0410421265943216","0.0417055518871667","400","10%"
"t = 0.823567973721531","0.0776134672250224","0.0534513589802313","0.0772444794678868","0.0760061626661324","0.0785200574465121","0.0776940789108635","0.078039601735887","0.0537081556917304","0.0746297645479445","0.0762987055544554","0.0776335641393025","0.078846527952093","0.0212949294917889","0.0212062895429235","0.0215136758893583","0.0214894257478543","0.0417978036112706","0.0425141606315006","400","10%"
"t = 0.837002358602286","0.0797695248086569","0.0551371697148597","0.0785717354078225","0.0772664717032553","0.0796237116325568","0.0787716277287981","0.0804141180964135","0.0556640879584782","0.0762351953712975","0.0779793080848308","0.0789818275032709","0.080249030557332","0.0216614470831437","0.0215627470649414","0.0219378265209568","0.021906993535837","0.0427603018566667","0.043534777794255","400","10%"
"t = 0.850436743483041","0.08182735300388","0.0568193088469653","0.0797662219355088","0.078466308822925","0.0805256998604557","0.079672486992257","0.0826953561281871","0.0576382770117936","0.0777289681305819","0.0796214685860304","0.0801432512165588","0.0814587425451956","0.0218780096950483","0.0218123960140029","0.0221477136739021","0.0221138694435428","0.0434916485410274","0.0443294066097996","400","10%"
"t = 0.863871128363796","0.0837127495978011","0.0584209607159885","0.0808424765308014","0.0794659760448349","0.0815312022389327","0.0806358351660922","0.0848074436489801","0.0595328800024703","0.079147281520613","0.0810044794183636","0.0814076112530548","0.082668235548416","0.0223440055813329","0.0222760162287113","0.0226709122256143","0.0226431798413371","0.0444892028607598","0.0453902319026339","400","10%"
"t = 0.877305513244552","0.0854963187436131","0.0599040381859602","0.0813130408049379","0.0798469908057771","0.0822312713575919","0.0812807650502507","0.08682153390715","0.0613171850706338","0.0799027138239965","0.0818842265236871","0.0823256286102776","0.0837097028850573","0.0226705841943925","0.0226550681364946","0.0230291350979088","0.0229992394993639","0.0450900949740092","0.0460691284962597","400","10%"
"t = 0.890739898125307","0.0871981292463622","0.0614231961773393","0.0826818514608046","0.0811904508359632","0.0836921088127914","0.0827434851466744","0.0887504544182279","0.063150110101534","0.0815677728230442","0.0836797678044216","0.0840377949214409","0.085503011242666","0.0228793792739645","0.0228969960484534","0.023205900842753","0.0231745746747893","0.045457382017455","0.0465191330507375","400","10%"
"t = 0.904174283006062","0.0886588158714153","0.0628174701968633","0.0831399054709554","0.0816858733093761","0.0839622262152619","0.0830991106366086","0.0904309273488356","0.064848216659918","0.0823683677435352","0.0845696409556286","0.0845758227582217","0.0860737234715519","0.0229145087946839","0.0229662331040288","0.0232599786093306","0.0232244824847759","0.0460610613011076","0.047187243346796","400","10%"
"t = 0.917608667886817","0.090065229937858","0.0640197122051885","0.083199812937628","0.0817729717761151","0.0842346782119553","0.0833945588217193","0.092058097656576","0.0663359663275459","0.0828101078391298","0.0849161283628759","0.0851089242389953","0.0865076713171751","0.0234511206743033","0.0235456173446897","0.0238548032845774","0.0238029271732065","0.0466891221573618","0.0478576713515934","400","10%"
"t = 0.931043052767572","0.0912834937808017","0.0652273747481751","0.0847226887491355","0.0832844514582113","0.085540598027772","0.0847211163069576","0.093487320862845","0.067837554798613","0.0846239762693373","0.0867526276780478","0.086638063469767","0.0880498234504637","0.0235596026036894","0.0237093407693411","0.0240600898217468","0.0239836166711674","0.0469517355620228","0.048191618246382","400","10%"
