"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0362640763817523","-0.00632658303412172","-0.00235368334157469","-0.00139702008741431","-0.00235368334157469","-0.00139702008741431","0.0355453742601565","-0.00454911802127808","0.00925367942238636","0.00762226933779622","0.00925367942238636","0.00762226933779622","0.0058908757604432","0.00360920987881532","-0.00477831131549369","-0.00449517000169782","-0.00477831131549369","-0.00449517000169782","100","0%"
"t = 0.662355355152468","0.0385761693618657","-0.00638070149090302","-0.00287103437114513","-0.00176418746333156","-0.00287103437114513","-0.00176418746333156","0.03791506036428","-0.00465132228446498","0.00890730975503361","0.00716940653467348","0.00890730975503361","0.00716940653467348","0.00608006748646505","0.00371601930867315","-0.00458223544462023","-0.00425504660611388","-0.00458223544462023","-0.00425504660611388","100","0%"
"t = 0.675789740033223","0.0408713223416369","-0.00641232254778304","-0.00203934026981041","-0.000872889955355083","-0.00203934026981041","-0.000872889955355083","0.040275096994569","-0.00477251237995516","0.00859418563492939","0.00664082494345396","0.00859418563492939","0.00664082494345396","0.00609774874204654","0.00366014971928145","-0.00453070051490529","-0.00415031848675149","-0.00453070051490529","-0.00415031848675149","100","0%"
"t = 0.689224124913979","0.043108657256264","-0.0066045602739075","-0.00434119346968756","-0.00302241646179087","-0.00434119346968756","-0.00302241646179087","0.0425984255759842","-0.00506479754723565","0.00651566558942153","0.00431026063013254","0.00651566558942153","0.00431026063013254","0.0062910310621104","0.00378283053991767","-0.00455018871548536","-0.00410946979280444","-0.00455018871548536","-0.00410946979280444","100","0%"
"t = 0.702658509794734","0.0455644421644219","-0.00646799530232735","-0.00405263167147929","-0.00270844160031491","-0.00405263167147929","-0.00270844160031491","0.0451558675068803","-0.00503563148782091","0.00617640836508126","0.0037736596151825","0.00617640836508126","0.0037736596151825","0.00620602773321002","0.00364912584345611","-0.00461491297403451","-0.00412294563393528","-0.00461491297403451","-0.00412294563393528","100","0%"
"t = 0.716092894675489","0.0480421593832626","-0.00624035223476842","-0.00412656715270841","-0.00265615852370134","-0.00412656715270841","-0.00265615852370134","0.0477501184934387","-0.00494007157549037","0.00595684139972762","0.00330023512583451","0.00595684139972762","0.00330023512583451","0.00590560096632866","0.0033129593491287","-0.00498042751187741","-0.00442943319174845","-0.00498042751187741","-0.00442943319174845","100","0%"
"t = 0.729527279556244","0.0504267171648483","-0.00603210140207528","-0.00212936561584706","-0.000637133210562776","-0.00212936561584706","-0.000637133210562776","0.0502620460113376","-0.00489441471589178","0.00743491250489754","0.00466304569382667","0.00743491250489754","0.00466304569382667","0.00560049193643499","0.00298291588450606","-0.0052622477992154","-0.00466512569385328","-0.0052622477992154","-0.00466512569385328","100","0%"
"t = 0.742961664436999","0.052814102546267","-0.00575494535240573","-0.00217037120436526","-0.00048232758481658","-0.00217037120436526","-0.00048232758481658","0.052785985796099","-0.00481190681571061","0.00732823476564537","0.0043483035493443","0.00732823476564537","0.0043483035493443","0.00530994961797231","0.00268339113884065","-0.0055811256993209","-0.00490782483825719","-0.0055811256993209","-0.00490782483825719","100","0%"
"t = 0.756396049317755","0.0552238110445944","-0.00541794212345421","-0.00131550714646861","0.000335724021051655","-0.00131550714646861","0.000335724021051655","0.0553499398862616","-0.00466331876143826","0.00743092999855224","0.00435000177510829","0.00743092999855224","0.00435000177510829","0.00504887892889571","0.0024319953311674","-0.00568904742555761","-0.00496056868949559","-0.00568904742555761","-0.00496056868949559","100","0%"
"t = 0.76983043419851","0.0574087490794527","-0.0053035467479217","-0.00167223649938898","7.71603792350329e-05","-0.00167223649938898","7.71603792350329e-05","0.0577015723346071","-0.00476750414533879","0.00708236726315062","0.00375712078009831","0.00708236726315062","0.00375712078009831","0.00498148257897911","0.0023844863623552","-0.00568593015628875","-0.00488662872880445","-0.00568593015628875","-0.00488662872880445","100","0%"
"t = 0.783264819079265","0.0595090604020432","-0.00509138481766025","-0.00367532075549802","-0.0017576201304853","-0.00367532075549802","-0.0017576201304853","0.0599747252691606","-0.0048067854083179","0.00427105266338044","0.000739307538719364","0.00427105266338044","0.000739307538719364","0.0045817277680478","0.0020253227351314","-0.00607240837472017","-0.00517543274736882","-0.00607240837472017","-0.00517543274736882","100","0%"
"t = 0.79669920396002","0.0615940722991516","-0.00484303540115477","-0.00474832734229852","-0.00268671655359963","-0.00474832734229852","-0.00268671655359963","0.0622386094771117","-0.00482756278728925","0.0029146086260966","-0.000865871288357034","0.0029146086260966","-0.000865871288357034","0.00434304222527395","0.00184523281461443","-0.00615055488340737","-0.00516000134486363","-0.00615055488340737","-0.00516000134486363","100","0%"
"t = 0.810133588840775","0.0635057298314719","-0.00465001200564542","-0.00474859665395475","-0.00269362483644961","-0.00474859665395475","-0.00269362483644961","0.0643377988552955","-0.00492765407281884","0.00241549495838979","-0.00163560450592321","0.00241549495838979","-0.00163560450592321","0.00411531248209026","0.00169473793575694","-0.00636860365126019","-0.00529481470333276","-0.00636860365126019","-0.00529481470333276","100","0%"
