"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.498107133663685","0.0310003201739996","0.0776896318673032","0.0574862502762949","0.0558472852257837","0.0574862502762949","0.0558472852257837","0.0263062400480637","0.0563287962329556","0.0421073075159736","0.0439393773578005","0.0421073075159736","0.0439393773578005","0.0129298975009448","0.0157285656553638","0.014644452706034","0.0147223451345222","0.014644452706034","0.0147223451345222","400","0%"
"t = 0.521279345422736","0.032120530272357","0.0801719611766696","0.0602058524870624","0.0583579850175547","0.0602058524870624","0.0583579850175547","0.0273394068267851","0.0599031990318597","0.0444932515871402","0.0466076921195404","0.0444932515871402","0.0466076921195404","0.0135497656396963","0.0167969143687669","0.0153211643612543","0.0154002871159968","0.0153211643612543","0.0154002871159968","400","0%"
"t = 0.544451557181786","0.03343752643656","0.0827929515327266","0.062523786078798","0.0604710635503552","0.062523786078798","0.0604710635503552","0.0286010057891648","0.0640252125069418","0.046742470252989","0.0492095346965979","0.046742470252989","0.0492095346965979","0.0140385787902768","0.0176584453392068","0.0158403662815684","0.0159263867673296","0.0158403662815684","0.0159263867673296","400","0%"
"t = 0.567623768940837","0.0347392231150889","0.0851171403273857","0.0641626088954595","0.0618663108626531","0.0641626088954595","0.0618663108626531","0.0298361698869545","0.0681660224953521","0.0485879152634617","0.0514849979339427","0.0485879152634617","0.0514849979339427","0.0145820581130903","0.0185356754266994","0.0163231990393365","0.0164180434271282","0.0163231990393365","0.0164180434271282","400","0%"
"t = 0.590795980699887","0.0362889922878488","0.0872247475442583","0.0650850740463418","0.0627571018693482","0.0650850740463418","0.0627571018693482","0.0313897753016791","0.0725314099408596","0.0502153975154288","0.0534302886436852","0.0502153975154288","0.0534302886436852","0.0151013319652472","0.0193728007676864","0.0168859471871558","0.0169979770724032","0.0168859471871558","0.0169979770724032","400","0%"
"t = 0.613968192458938","0.0375489674387497","0.0888776275727325","0.0662737699645387","0.063942827809161","0.0662737699645387","0.063942827809161","0.0327630750368978","0.0768964114205144","0.0522290341332117","0.055699436542005","0.0522290341332117","0.055699436542005","0.0156868180780702","0.02025118625392","0.0173930366217828","0.017533225146966","0.0173930366217828","0.017533225146966","400","0%"
"t = 0.637140404217988","0.0388771641977904","0.0907518389004634","0.0677724455156184","0.0652604866282598","0.0677724455156184","0.0652604866282598","0.0341614094075183","0.0818007693020133","0.0541433740565613","0.0583047272154242","0.0541433740565613","0.0583047272154242","0.0162406925324349","0.0208945960924109","0.0178605085381052","0.0180333339726833","0.0178605085381052","0.0180333339726833","400","0%"
"t = 0.660312615977038","0.0399388178538364","0.0917877274176386","0.0678954397110123","0.065347192727514","0.0678954397110123","0.065347192727514","0.0354148022619023","0.0861952284350229","0.0550272711355051","0.0596496731455347","0.0550272711355051","0.0596496731455347","0.0168051767315472","0.0216471309562839","0.0185207657007154","0.0187267584221451","0.0185207657007154","0.0187267584221451","400","0%"
"t = 0.683484827736089","0.0410612390671196","0.0925635053513869","0.0699781264150851","0.0672778852217051","0.0699781264150851","0.0672778852217051","0.0367315192892647","0.0905818534188867","0.0574688844504965","0.0626250265914408","0.0574688844504965","0.0626250265914408","0.0171779161712118","0.0222197768713912","0.0188243758403271","0.0190634359419715","0.0188243758403271","0.0190634359419715","400","0%"
"t = 0.706657039495139","0.0419982113337786","0.0929744925686316","0.0717870560025372","0.0688587137242855","0.0717870560025372","0.0688587137242855","0.0379433911913557","0.0948861885630287","0.0599730608037992","0.0656544821606684","0.0599730608037992","0.0656544821606684","0.0176814207387473","0.0228548315401129","0.0192451799487894","0.0195151352719233","0.0192451799487894","0.0195151352719233","400","0%"
"t = 0.72982925125419","0.0428853065814587","0.0931704580883015","0.0730910693835799","0.069966574236139","0.0730910693835799","0.069966574236139","0.039092336388685","0.0991660248592737","0.061673550043812","0.0681366974379015","0.061673550043812","0.0681366974379015","0.0180722262537296","0.0233139283751924","0.0197413559479067","0.0200370573340598","0.0197413559479067","0.0200370573340598","400","0%"
