"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.237043780897122","0.222717989786601","0.174547564417963","0.0510348582917663","0.0490439173410265","0.045784411490379","0.0444351919823957","0.205421648460081","0.157739195452677","0.0369972751410142","0.0388622159899292","0.0336595771942672","0.0352261514316876","0.0147146996713173","0.0154628787702739","0.0123755935928986","0.0123927780908189","0.0122909410673101","0.012285307377634","400","30%"
"t = 0.247302270059656","0.229138681396875","0.17786515541236","0.051734303837173","0.0497591818761667","0.0463066295767444","0.0450179391721293","0.213392563676877","0.162621902480596","0.0385736826110993","0.0405694171769598","0.0351381250584096","0.036679575018081","0.0149026355485935","0.0157570341605671","0.0129186360011907","0.0129375904964508","0.0128234181573508","0.0128197214119906","400","30%"
"t = 0.257560759222191","0.234966757389129","0.180767239083513","0.0523878439260762","0.0503566352727356","0.0474765835851309","0.046220706286493","0.220712501350921","0.167029538511514","0.0403177780427547","0.0423550508681916","0.0382879485391243","0.039930140973526","0.0147769779277905","0.0158551307756015","0.01317379082788","0.0132058126028268","0.0140497325933007","0.014249956326414","400","30%"
"t = 0.267819248384725","0.240673292057609","0.183125491802221","0.0532213982059543","0.0512616261290844","0.0492298855712939","0.0481032381083349","0.227844451127129","0.170824186895588","0.042099434232364","0.0441808471934367","0.0416640740044062","0.0432686248936598","0.0150200621298355","0.0160326997046406","0.0136496833057789","0.0136822880692312","0.0179491637494751","0.0183510331728733","400","30%"
"t = 0.278077737547259","0.245974448863009","0.185065456427115","0.0543125063587428","0.0524058254622189","0.0504097163575374","0.0494337674619747","0.234497744710537","0.174125139204055","0.0442778118068693","0.0463693950686588","0.0444938565415778","0.0460574266133519","0.0151732577719674","0.0161781777053954","0.0139549809819165","0.0139815382938955","0.0240836883887722","0.0246602277872196","400","30%"
"t = 0.288336226709793","0.250817308431275","0.186508084162656","0.0553724160895803","0.0534041175445919","0.0518148426196715","0.0508218601644704","0.240611890447744","0.176846733003459","0.0462960880557492","0.0484025017018069","0.0470800925424524","0.0484641057378692","0.0153507016774167","0.0163258617020258","0.0143753944143351","0.0143974607392287","0.0309572004965145","0.0316320564858998","400","30%"
"t = 0.298594715872328","0.255142452722382","0.187441241143199","0.0565417629954623","0.0546593404177383","0.0538869548985745","0.0530341856508087","0.24612628594388","0.178972902415335","0.0483859921373365","0.0505179280246405","0.0497993908418963","0.0511014075111691","0.0154760781153047","0.0163753449282341","0.0147215477888983","0.0147161240630342","0.0374507548183533","0.0381942752968954","400","30%"
"t = 0.308853205034862","0.259025164810552","0.187866736407091","0.058434674497588","0.0565498014043685","0.0556672396738194","0.054867709438322","0.251113714981258","0.180502650827055","0.0509671482354849","0.0530254411516969","0.0522614267736102","0.0535250763893377","0.0159177182750359","0.0167549618915177","0.0152009717442735","0.0152236366168085","0.0444360028963694","0.045228198594534","400","30%"
"t = 0.319111694197396","0.262483197048139","0.187754887952304","0.0594734273584131","0.0576644911583545","0.0572706449693153","0.056517424808891","0.255589142727114","0.181405439237415","0.0528695547568159","0.0549705739378832","0.0543192044450322","0.0555498430447873","0.0161846559684331","0.0171103189840085","0.015638224411834","0.0156650114322358","0.0511327239259772","0.0519671331945758","400","30%"
"t = 0.329370183359931","0.265401724919049","0.187138281991771","0.0610677118777438","0.0592119939316328","0.058847357655356","0.0581591581820418","0.25943734070362","0.181713017414286","0.0551396580482121","0.0571582267562169","0.0564936495197749","0.0576739956535129","0.0164506218720194","0.0173179653661595","0.0159868326556077","0.0159920053726258","0.0576160814584857","0.0584670298995791","400","30%"
"t = 0.339628672522465","0.267889487727148","0.186123131661259","0.0617590762514896","0.0599537499516755","0.0594951520006762","0.058808939007466","0.262770887369962","0.181534796995347","0.0565386297190057","0.0585105861378145","0.0575703470627339","0.0585910085189432","0.0164982139808978","0.0173559477372117","0.0163732984918087","0.0163790690213885","0.0637752204784773","0.0646341987976332","400","30%"
"t = 0.349887161684999","0.269723776601928","0.184542393540803","0.0632618229855715","0.0615282034140581","0.0609811741096458","0.060330312639786","0.265366815404305","0.18070276021556","0.0586961205478959","0.0606147711724593","0.0594043814662569","0.0603978563006777","0.0167152578612426","0.0173965739068493","0.0167125647222922","0.0167045534879766","0.0694394380336641","0.070305063184506","400","30%"
"t = 0.360145650847534","0.271045817233928","0.182454336521459","0.0638907046237865","0.0622294253064834","0.0624098722881432","0.061831253954633","0.267371035489517","0.179289972070547","0.0600289345539894","0.0617685144741747","0.0612065329073633","0.0621358024397963","0.0168894342344183","0.0174400030599818","0.0169607135283637","0.0169363983143305","0.0745682867256296","0.0754350401503774","400","30%"
"t = 0.370404140010068","0.271983245022516","0.179850298801226","0.0653466910096224","0.0637475198724564","0.0643472478472667","0.0637560043423015","0.268914791766427","0.177282776323887","0.0620756560670306","0.0637583045506323","0.0634803068088722","0.0643171581325588","0.0172840663436256","0.0178536620072216","0.0175237966833957","0.0174962730452278","0.080035941533199","0.0808941837148608","400","30%"
"t = 0.380662629172602","0.272447455592319","0.176788825780871","0.0659421253841907","0.0644213330694097","0.065754939217712","0.0652463869830658","0.269913534598435","0.174735828748846","0.0631206016155422","0.0647224424173497","0.0651814352528682","0.0660648049808838","0.0174368774678552","0.0180008702259652","0.0178061355270079","0.0177773454339676","0.0851706693216283","0.0860284816230891","400","30%"
"t = 0.390921118335136","0.272330951880199","0.173236196073407","0.0670218439475613","0.0655356704184498","0.0669603424086882","0.0664646399219177","0.270264313850022","0.171620592600325","0.0646422311903907","0.0660871086705843","0.0665832861214016","0.0673833502650091","0.0177395289433074","0.0182726081343201","0.0179905416710778","0.0180070556328217","0.0899235461836776","0.090768045301067","400","30%"
"t = 0.401179607497671","0.27168367325398","0.169138529053495","0.0675050072761824","0.0661096592920701","0.0674107229006637","0.0669694093523272","0.270021422835627","0.167899780846899","0.0655643504909279","0.0670051397612692","0.0672679879391312","0.0680218105131174","0.0178835000505812","0.0183359859483853","0.0181530463765111","0.0181603767406018","0.0946695393618349","0.0955060659127649","400","30%"
"t = 0.411438096660205","0.27066309732826","0.164646611615009","0.0683643448393555","0.0669364888752491","0.067850478509024","0.0674076855814754","0.269351474030135","0.163721792113708","0.0667703214842538","0.0680218191205049","0.0678856107760313","0.0685283923372363","0.0179655067448705","0.0182784228283035","0.0182316573244626","0.0182327496837441","0.0992058278520671","0.100019682637142","400","30%"
"t = 0.421696585822739","0.268996669029983","0.159575840648245","0.0696283663030676","0.0682270666972898","0.0680275258518799","0.0676016572317996","0.267981933122018","0.158910143944192","0.0683656858450657","0.0694782105623203","0.0681573379228306","0.0687029667146735","0.0183021423479067","0.0185979385475142","0.0184408770617964","0.0184367925688082","0.103370693451869","0.104153082776389","400","30%"
"t = 0.431955074985274","0.26685818382721","0.154113805700586","0.070212900367792","0.0688505189952773","0.0681221179051365","0.0676966023032243","0.266096453525033","0.15366635182537","0.0692523445619073","0.0702121222163008","0.0683738821784442","0.0688302130625268","0.0186416924405195","0.0189028531748492","0.0187485406086605","0.0187367708630234","0.107337338337529","0.108100171446775","400","30%"
"t = 0.442213564147808","0.264266507289351","0.148327399421666","0.07157423832681","0.0702477881795152","0.0686634789296796","0.0683192532324992","0.263720176688728","0.148053648029805","0.0708529663559436","0.0716726539195149","0.0689868461131648","0.0694272554183937","0.0189318585478118","0.0192614629828586","0.0191868050759076","0.0191781624685575","0.111144405266651","0.11187177187846","400","30%"
"t = 0.452472053310342","0.261172180930391","0.142226188232297","0.0724604017163753","0.0712140230354714","0.0701277840445259","0.0697342910709454","0.260807926098258","0.142105509582001","0.0719368850336295","0.0726500439563329","0.0705044917033803","0.0708233353467061","0.0194435094428361","0.0195851348509441","0.0195262018953141","0.0195234017518695","0.114664297347357","0.115365642553577","400","30%"
"t = 0.462730542472877","0.257664726963052","0.135900042530031","0.0729680275222072","0.0718259014956631","0.0708257872966322","0.070468624996283","0.257456376265306","0.13589015001394","0.0726532989260706","0.0732825134005618","0.0712764454472576","0.0715579763833236","0.0197979475270165","0.0198710122130893","0.0198175918109634","0.0198236222044173","0.118055190698168","0.118726940394526","400","30%"
"t = 0.472989031635411","0.25367880801017","0.129322573096076","0.0746879235727488","0.07366420855992","0.0706403762457975","0.0703384737248215","0.253603171768144","0.129385793549528","0.0745482643535798","0.0751261773953436","0.0711057268802097","0.0713682134082684","0.0203120689496616","0.0202531295462596","0.0201520228913903","0.0201482737630432","0.121459905202379","0.122095062007379","400","30%"
"t = 0.483247520797945","0.249188090988589","0.122495464144322","0.075787632578883","0.074813390796263","0.070206935933085","0.0699982945806907","0.249225173747744","0.122618723454811","0.075749200636518","0.0762295025244564","0.0706674251658552","0.0709349454729042","0.0205383046698132","0.0204960220749747","0.0203442453682526","0.0203521103159911","0.124569111181901","0.125163407071011","400","30%"
"t = 0.493506009960479","0.24416596053438","0.115573827041599","0.0770803120817629","0.0761773470652907","0.0705711153931033","0.0704101521781358","0.244301377318671","0.115748014748357","0.0771602420853813","0.0775385092706328","0.071036041968349","0.0712891468580055","0.0205082445711111","0.0204601385598754","0.0203333865693202","0.0203493995000351","0.127253319805374","0.127808610417736","400","30%"
"t = 0.503764499123014","0.238754439680005","0.108767294421113","0.0770354630417497","0.0762399912057128","0.0703188458622081","0.0702467199431205","0.23897914667803","0.108977428987317","0.0771946446373396","0.0775109040634768","0.0707689495498824","0.0710610928535318","0.0208473506877833","0.0207946023849086","0.0207789899080728","0.0207785038348335","0.130017707543436","0.130537799960528","400","30%"
"t = 0.514022988285548","0.23293000812455","0.102132369059446","0.0778931135605168","0.0771376526863508","0.0704507147312746","0.0703841507483972","0.233238456198821","0.102361682831956","0.078125341369685","0.0783383010442622","0.0708887927643633","0.0711309374544022","0.0210694119066052","0.0209914131273086","0.0210094830553224","0.0210294093376295","0.132408484938612","0.132894107023658","400","30%"
"t = 0.524281477448082","0.226637159966874","0.0957244757515015","0.0790467601541198","0.0783074066879188","0.0706599088459899","0.0705776545140463","0.227026576891664","0.0959745548597156","0.079318558709267","0.0794363705386692","0.0710810965642406","0.0712596699156201","0.0215471816565852","0.0213480900287918","0.0213388883273006","0.0213527284865323","0.134575024247415","0.135035189317079","400","30%"
"t = 0.534539966610617","0.219971451789612","0.089716155742888","0.0802887664610085","0.0796205245523765","0.0708317295313429","0.0707718514620063","0.220442641566655","0.0899793577381037","0.0805930959571854","0.0806775488599268","0.071236806481939","0.07139870795078","0.0215776808101249","0.0213402436546804","0.0213762674369754","0.0213943312075403","0.136453568913824","0.13688687775092","400","30%"
"t = 0.544798455773151","0.213019753579814","0.0841025975186096","0.0806712428459337","0.0800874756618209","0.0706166834561726","0.0705934596620402","0.213578012686193","0.0843772268112538","0.0809934160171431","0.0810633743193702","0.0709867601560387","0.0711404012536696","0.0213916349440778","0.0213149827024221","0.0213646244225844","0.0213895524680167","0.138360666609316","0.138762894373147","400","30%"
