"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0417379301039323","-2.99016388116783e-05","-0.000322714842724585","-3.32432754746411e-05","-0.000322714842724585","-3.32432754746411e-05","0.040419745390395","8.28553617705798e-05","0.000900791537549091","0.000449144122269085","0.000900791537549091","0.000449144122269085","0.0024508851739302","0.000300970401823167","-0.000393500100643006","-0.000213320113687672","-0.000393500100643006","-0.000213320113687672","1600","0%"
"t = 0.662355355152468","0.0442927278505568","3.08152875715775e-05","-0.000517875455882696","-0.000191635227080043","-0.000517875455882696","-0.000191635227080043","0.0430139217885462","0.000142387831811015","0.000793203920382327","0.000283635436062043","0.000793203920382327","0.000283635436062043","0.00249922937178673","0.000252973834554554","-0.00050477041357568","-0.000297818312620282","-0.00050477041357568","-0.000297818312620282","1600","0%"
"t = 0.675789740033223","0.0468504606347618","5.97675915629553e-05","-0.000581959894815954","-0.000219068218570356","-0.000581959894815954","-0.000219068218570356","0.0456282364605503","0.000168606247284423","0.000785563445773874","0.000218677865287244","0.000785563445773874","0.000218677865287244","0.0025659021476716","0.000227076750630083","-0.000536932428623227","-0.000300899140438774","-0.000536932428623227","-0.000300899140438774","1600","0%"
"t = 0.689224124913979","0.0494797279109259","0.000208684131762191","-0.000550712827642324","-0.000153236869192164","-0.000550712827642324","-0.000153236869192164","0.0483318173752545","0.000315614494228226","0.000884010214588696","0.000255318379684405","0.000884010214588696","0.000255318379684405","0.00247950636097677","5.56417011890349e-05","-0.000749370578905544","-0.000482302987417271","-0.000749370578905544","-0.000482302987417271","1600","0%"
"t = 0.702658509794734","0.0520002986749276","0.000180627067572708","-0.000757873000301412","-0.000312852262901872","-0.000757873000301412","-0.000312852262901872","0.0509453209210162","0.000281926552246998","0.000745925272925561","5.43671606666745e-05","0.000745925272925561","5.43671606666745e-05","0.00260273647577367","9.82583934577438e-05","-0.000720656976580914","-0.000417590986115242","-0.000720656976580914","-0.000417590986115242","1600","0%"
"t = 0.716092894675489","0.0545550496970289","0.000236632077210352","-0.000991128316138722","-0.000513611942664119","-0.000991128316138722","-0.000513611942664119","0.0536117091834182","0.000332173221926383","0.0005979054448214","-0.000175710454538245","0.0005979054448214","-0.000175710454538245","0.00261145374422638","3.45815176125768e-05","-0.000841332074838843","-0.000499834587401037","-0.000841332074838843","-0.000499834587401037","1600","0%"
"t = 0.729527279556244","0.0570305382074461","0.000216449680387323","-0.00106063162402674","-0.000548144888580538","-0.00106063162402674","-0.000548144888580538","0.0562175674236565","0.000303957453012855","0.000589539534655772","-0.000261803826664306","0.000589539534655772","-0.000261803826664306","0.00274619643879484","0.000105163104109973","-0.000787619806825478","-0.000405169588728348","-0.000787619806825478","-0.000405169588728348","1600","0%"
"t = 0.742961664436999","0.059535490471197","0.000323599285723491","-0.000783347225193828","-0.000223929882031803","-0.000783347225193828","-0.000223929882031803","0.058871456940973","0.000404292228899515","0.000931477851535074","1.73292976534817e-05","0.000931477851535074","1.73292976534817e-05","0.00268428888998963","-1.07938182673682e-05","-0.000929724617449054","-0.000504955932241707","-0.000929724617449054","-0.000504955932241707","1600","0%"
"t = 0.756396049317755","0.0619707628667583","0.000407754670646711","-0.000551059009362659","5.16501564470497e-05","-0.000551059009362659","5.16501564470497e-05","0.0614738839133967","0.000479883496923371","0.00124382904506164","0.000253754145034728","0.00124382904506164","0.000253754145034728","0.00261313752860033","-0.00012691016397678","-0.00109320916847733","-0.000622328250938174","-0.00109320916847733","-0.000622328250938174","1600","0%"
"t = 0.76983043419851","0.0643412912697448","0.00049113783020562","-0.000344553223082774","0.00029522761771891","-0.000344553223082774","0.00029522761771891","0.0640289910367056","0.000555735457474361","0.00151916381548001","0.000455121821514679","0.00151916381548001","0.000455121821514679","0.00257238709406856","-0.000202148262087826","-0.00118657943687233","-0.00066753006578522","-0.00118657943687233","-0.00066753006578522","1600","0%"
