"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.497423894309699","0.034324839082539","0.0668586490596897","0.0636146336274038","0.0616996689435348","0.062724867824245","0.0607820084466585","0.0285971906061171","0.0512517041135597","0.0468667084018297","0.0489262592899646","0.0460395866178113","0.0480928954703414","0.0135141841691554","0.015097288138095","0.0151415513303458","0.015215465664404","0.0151162358083058","0.0151830238640988","400","30%"
"t = 0.520605609033673","0.0360582263317191","0.0693843324364734","0.0651564497158691","0.0631407467386556","0.0641728066434544","0.0623628528215537","0.0302432495743283","0.0549417162162946","0.0487980515215908","0.0511513404059894","0.049895083349136","0.0523173741955799","0.0143754038681623","0.0160821454359579","0.016034408309776","0.0161312666945967","0.0181821301615139","0.0185698673602898","400","30%"
"t = 0.543787323757646","0.0372628023873918","0.0711949090053478","0.0661326683482588","0.063883238777086","0.0662191890008672","0.0643750106581768","0.0313886639588263","0.0581445093446669","0.0498982248009588","0.0525980981793829","0.0536285345598279","0.0563504181170849","0.0149194081671484","0.0168470224719639","0.0167352055795559","0.0168353335258347","0.0244655632365068","0.0251268065589119","400","30%"
"t = 0.56696903848162","0.0382458376203154","0.0731835900057106","0.0674161275629366","0.0651205759089899","0.0674932225396182","0.0658633325254118","0.0323651701303788","0.0618734135979264","0.051757172731196","0.0548753909098304","0.0567424229876018","0.0597280576218531","0.0154246982986747","0.017445231772978","0.0171406911921179","0.0172854302444301","0.0318875588906106","0.0327980605428578","400","30%"
"t = 0.590150753205593","0.0394025245492703","0.0746551440916172","0.0689606540107355","0.0665709253431674","0.0707704471227374","0.069288579843164","0.0334863281277666","0.0653030812383196","0.053684711435441","0.0570460925741752","0.0608917784829852","0.0640116238706742","0.0158960067511134","0.0180792876056401","0.0176229167523074","0.0178041872201759","0.0395944910620166","0.0407081830475472","400","30%"
"t = 0.613332467929567","0.0404780904335283","0.0754523827200877","0.0709672083271592","0.0683833987912695","0.0727689149078058","0.0714044256148218","0.0346276317714238","0.0683648578347765","0.0562051367487939","0.0599098976915023","0.0636694395216547","0.0668257174173506","0.016548084810195","0.0189919456700927","0.0183019319626606","0.0184925584710164","0.0472827304442769","0.0486013988793517","400","30%"
"t = 0.63651418265354","0.0421058749435746","0.0766530364095071","0.0728996784109015","0.0701353389466093","0.0759041318185197","0.0747829448991873","0.0362885771940305","0.0721558959813165","0.0584907329405734","0.0627239104753903","0.0671058389731934","0.0704080835969071","0.0173431534164216","0.019847392016155","0.0190917298705606","0.0193216426982052","0.0548807247471485","0.0563977849821874","400","30%"
"t = 0.659695897377513","0.0433487948103288","0.0773952282587101","0.0751683311028884","0.0721563502423032","0.0780730388281235","0.0771540297095622","0.0376145337922111","0.0756447943355277","0.06070985879113","0.0655000744775367","0.069371187609811","0.0727630864443765","0.0176242486255323","0.0202117949674924","0.019450870386473","0.0196997469239702","0.0623658430719603","0.0641001383097085","400","30%"
"t = 0.682877612101487","0.0446470504197865","0.0779338214793535","0.0765098468719449","0.0732936468482612","0.0805565114593645","0.0799102489860745","0.0390199032179246","0.0791545686794261","0.06247739598238","0.0678977913428104","0.0719981378095356","0.0754896565157483","0.0179897960266671","0.0206423212600091","0.0198705246737304","0.0201518126180101","0.0694589977054841","0.071419216544277","400","30%"
"t = 0.70605932682546","0.0456334130665679","0.0778427850504667","0.0774268573266627","0.074173306544691","0.0836280379002373","0.083282946821053","0.0403596946736949","0.0823275640114369","0.0641545230443405","0.0700257113822314","0.0750587952519132","0.0785216601670429","0.0187609543667636","0.0214929562465868","0.0208094357039787","0.0211157310596792","0.0762622218933665","0.078457531328592","400","30%"
"t = 0.729241041549434","0.0466959173741213","0.0775147380331197","0.0777663537342861","0.0744886274913659","0.0857683515462584","0.085741836678098","0.0416891745988496","0.0852423310478702","0.0653280437811595","0.0716612128351044","0.0773319468164207","0.0807449928762658","0.0190686898488474","0.0219895599152849","0.0214113801044983","0.0217195856911953","0.0824598990440058","0.0849030512323246","400","30%"
"t = 0.752422756273407","0.0479316961143148","0.0774398492553102","0.0779276464949764","0.0747212641519058","0.0880643523750356","0.0884306790472558","0.0432850011584031","0.088752187842972","0.0667210811312225","0.07355560019771","0.0797268004741201","0.0829443391534387","0.0195604319402807","0.0223610243819875","0.0216852244032119","0.022084329853957","0.0888182126349122","0.0915220547377175","400","30%"
"t = 0.775604470997381","0.0487723339222596","0.0768575707341201","0.0787339752527162","0.0754205023280024","0.0903116907221187","0.0911830050409978","0.044411217413074","0.0916267199862861","0.0685870938179116","0.0759176619282547","0.0820000444649271","0.0849659607718365","0.0196902068012132","0.0225025754807955","0.0218337014037699","0.0222724056331217","0.094772239095673","0.0977424725117746","400","30%"
"t = 0.798786185721354","0.04987689831294","0.0762461065094743","0.0798588595455181","0.0762063397292938","0.0928969905801791","0.0941335838524714","0.0460759825533392","0.0947190659018847","0.070828412776714","0.079011521839185","0.0850518480892491","0.0878976235849491","0.0200267505898725","0.0227525766877983","0.0220701790094623","0.0225600038708534","0.100457223307403","0.103746847749612","400","30%"
"t = 0.821967900445328","0.0508802178934482","0.0752178778854985","0.079742361832098","0.0761069708889065","0.0953834032302992","0.0970827990267312","0.0476431949397184","0.097258018866705","0.0719554231224444","0.0805992134254601","0.0876293519480667","0.0900773896640392","0.0205824682701095","0.0232913247680282","0.0226491316264583","0.0231955554744121","0.105806108170863","0.10938792009283","400","30%"
"t = 0.845149615169301","0.0514906454001463","0.0738907371212648","0.0803096164959742","0.0765662801735206","0.0979313821318458","0.100133718180664","0.0489232624245674","0.0994690966227562","0.0737844783762397","0.0834271291963892","0.0905662772923137","0.0927867165525433","0.0211630416419749","0.0238354184082456","0.0233345812975188","0.0239383572436033","0.110845034753072","0.114749721966228","400","30%"
"t = 0.868331329893275","0.051955255402663","0.0720778985966088","0.0806302957039264","0.076857189384319","0.101597134201848","0.104224429387701","0.0501059702831586","0.100817603841128","0.0754654859194979","0.0855756747087576","0.0945813843112715","0.0964295394074443","0.0218101888767941","0.0245485730427403","0.0240223177649179","0.0246728921079667","0.115690370329673","0.11989946967756","400","30%"
"t = 0.891513044617248","0.0525974678409044","0.0706806194663709","0.0815867310613986","0.0776768924213403","0.10522746032145","0.108190355667424","0.0515346462475609","0.10265883295738","0.0777987911911881","0.0887989003198996","0.0988795601230587","0.100492815550657","0.02216548041829","0.0248832095763479","0.0242532475709868","0.0249611477516425","0.120191892093873","0.124743135248333","400","30%"
"t = 0.914694759341222","0.0532123563555816","0.069245204280321","0.0827515931687987","0.0787145157705007","0.108909647960678","0.112210747578339","0.0530277351905911","0.104311589521478","0.0804700938072449","0.0923003217561339","0.103286824257541","0.104636772733599","0.0228461467165305","0.0253952313031537","0.0249590973121795","0.025772227490042","0.124764554817958","0.12966741394194","400","30%"
"t = 0.937876474065195","0.0532900335354139","0.0675306771688907","0.0825464867797738","0.0788212217432249","0.112071326298242","0.115901822718264","0.053952112936132","0.105348302034907","0.0818751815685814","0.0941163194779066","0.107147738457366","0.108313554115953","0.0231722277275656","0.025602615608839","0.0250741228310425","0.0260281091377696","0.129072917663702","0.134315251087786","400","30%"
"t = 0.961058188789168","0.0535168430726494","0.0659474994272649","0.0829200249096864","0.0791221153194156","0.114869565880313","0.119079867060955","0.0549553436477333","0.106262621299049","0.0837800031838104","0.0969064079136664","0.110778381973582","0.11171208581667","0.0237037382899133","0.0259348274486479","0.0256063097855099","0.026687436465507","0.133201336332077","0.138813716405293","400","30%"
"t = 0.984239903513142","0.0539087572165517","0.0643835404281313","0.0835677322491796","0.0798537056508137","0.119265814894712","0.123866086049049","0.0562886024181879","0.106808983111979","0.0864316689873417","0.100202701117041","0.116305112546056","0.117144877805661","0.0242182356064856","0.0263526402048976","0.0258185518292538","0.0271021102885062","0.136883817647991","0.142847236687308","400","30%"
