"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.648920970271713","0.0390947167601776","-0.000744472201325108","0.00064401957674171","0.00108865212410793","0.0028447389914341","0.00322518340123048","0.037945334717756","-0.000295805743358793","0.00359363920013677","0.00288006772103063","0.00426054535313088","0.00362112851556543","0.00337376083680464","0.00149363221533288","-0.000544122922165433","-0.000336359677477941","0.0189998718047218","0.0192235605608938","400","10%"
"t = 0.662355355152468","0.0415096984443518","-0.000662309450277572","0.000509551220221121","0.0010038913617779","0.00354368357051762","0.00396523335782316","0.0404050940609755","-0.000221283610944207","0.003480573058316","0.00270164185620733","0.00487241276629745","0.00419917019446526","0.00339182391445083","0.00145473097815706","-0.000671312363300758","-0.000435307312056585","0.0205022983039569","0.0207528972689292","400","10%"
"t = 0.675789740033223","0.0438599088857298","-0.000639934582296542","0.000582388689660895","0.00113897288162146","0.00431744320710248","0.00479775986245666","0.0428168295191206","-0.000213950225535798","0.00360392392658513","0.00275250019565357","0.00559089416045024","0.00488607857559351","0.00356143235973534","0.00151714150886734","-0.00056910568073598","-0.000301247881736762","0.0221691914902298","0.0224507807984845","400","10%"
"t = 0.689224124913979","0.0463229159789592","-0.00049590813742544","0.00013085768821761","0.000744976977441534","0.0043723544422067","0.0049017290112231","0.0453590008326454","-8.41832764687057e-05","0.00319403743055255","0.0022597962390403","0.00563965075968847","0.00487989292721006","0.00353547552341059","0.00142014644508689","-0.000698423210081921","-0.000394615281449661","0.0234280429248708","0.0237442413654632","400","10%"
"t = 0.702658509794734","0.0488340074112475","-0.000234901367541999","0.000945457160405185","0.0016159163435571","0.00528088341332679","0.00585911744973203","0.0479653291521723","0.000158357253489471","0.00401675910393923","0.0030035366699976","0.00656295713656064","0.00574237119674154","0.00334985989666457","0.00116229607391474","-0.000953202418437082","-0.000613842035121595","0.0246290689906284","0.0249822490610284","400","10%"
"t = 0.716092894675489","0.0512344398691204","-8.24162439915339e-05","0.000416822484079133","0.00114877651100597","0.00518033061462471","0.0058125713161634","0.0504785024693223","0.00028198698118905","0.00348689349493771","0.00239058733686303","0.00647383379970893","0.00559006712351334","0.00332074986599696","0.00106458873255721","-0.00109984265056018","-0.000717289729758981","0.0257492914968953","0.0261450639798873","400","10%"
"t = 0.729527279556244","0.0535666047771316","-3.51789364144898e-06","0.00101815476255116","0.00177230338263052","0.00603188914900471","0.00666728099890875","0.0529419769591434","0.000327278266150602","0.00396239162043602","0.00278667350646918","0.00725112066582386","0.00630138893647416","0.00344317896638046","0.0011174044888242","-0.000954159828362878","-0.000531545013672718","0.0273515537265083","0.0277852803851826","400","10%"
"t = 0.742961664436999","0.0558772973709362","0.00012137709568323","0.00124749506664729","0.00206136925331811","0.00698327427987631","0.00767340560007424","0.0554005896674343","0.000412608526953172","0.00416819073672944","0.00291004746661835","0.00818219818486128","0.00718742170073582","0.00342614269728099","0.00105504656776717","-0.00102194673137086","-0.000551272592956056","0.028680431664082","0.0291593658551278","400","10%"
"t = 0.756396049317755","0.0579456455335564","-3.98310065984071e-07","0.000337292041597598","0.00124323422057099","0.00657589662825796","0.0073528534811298","0.0576333156884302","0.000236943642145584","0.00332105985181577","0.00196884561906583","0.00783283721005063","0.00678281785576348","0.0038060837137764","0.00141552197148314","-0.000747812874486901","-0.000217771488974178","0.030276458469359","0.0308128922724229","400","10%"
"t = 0.76983043419851","0.0600961632522452","8.8505807111807e-05","-5.00734788154817e-05","0.000915348988052398","0.00685549145202188","0.00766967582877024","0.0599645132861931","0.000275616830011052","0.00290199822294301","0.00146201583892405","0.00808841665325162","0.00699187649769145","0.00389963496305515","0.00145982305353376","-0.000689918109979524","-0.000102332092630339","0.0316399585662871","0.03222830456826","400","10%"
