"n"	"PH-0%"	"PO-0%"	"DR-cll-0%"	"DR-logit-0%"	"DR-cll-ig-0%"	"DR-logit-ig-0%"	"PH-10%"	"PO-10%"	"DR-cll-10%"	"DR-logit-10%"	"DR-cll-ig-10%"	"DR-logit-ig-10%"	"PH-30%"	"PO-30%"	"DR-cll-30%"	"DR-logit-30%"	"DR-cll-ig-30%"	"DR-logit-ig-30%"
"cdf-bias"	100	0.619273270870869	0.592240118065484	0.350624721065277	0.654900451306792	0.350624721065277	0.654900451306792	0.626506648342131	0.724502176814136	0.364331728463407	0.687832414217339	3.50145440478391	3.78788986079477	0.579392646845877	0.781801099374269	0.981557439690241	1.24112953978107	10.0108712271982	10.1866094335225
"cdf-bias"	400	0.845704015994822	0.689794253598119	0.081479308806742	0.407848879179257	0.081479308806742	0.407848879179257	0.72798266180081	0.63533058582706	0.115946171684167	0.446500598767074	3.38954201542578	3.65462023023244	0.665961729777913	0.58896500480552	0.252340759250635	0.54845409541815	9.95627624913971	10.1135363187163
"cdf-bias"	1600	0.911707860175292	0.773791368049112	0.0323101319134154	0.338968199669068	0.0323101319134154	0.338968199669068	0.813109828831401	0.726563842663705	0.0252509372417086	0.343645818073148	3.33330344678181	3.59350884465711	0.609983331566786	0.624041314013808	0.150155633795641	0.464791311375305	9.99259791259598	10.1374936206339
"cdf-rmse"	100	4.29471189016354	4.42496738076776	4.29062988241718	4.31902589730938	4.29062988241718	4.31902589730938	4.41756124221064	4.5757565747126	4.55215144218338	4.5722584825016	5.57831244419666	5.75546486267986	4.86220999942164	4.97485886154431	5.35724220619015	5.34700012782555	10.8578948631948	11.0108966807809
"cdf-rmse"	400	2.33909182158516	2.41438766709926	2.12131163243213	2.20003957097305	2.12131163243213	2.20003957097305	2.42025504798237	2.51628278484319	2.27999657515246	2.35566679358741	4.03642933730531	4.26703803596062	2.5683386165856	2.63799793331696	2.54130545592739	2.62310506629503	10.1994308614732	10.3532891793768
"cdf-rmse"	1600	1.45935381551628	1.47750566556581	1.07669660573278	1.19013608477737	1.07669660573278	1.19013608477737	1.4107825017562	1.47364970800681	1.09010091266974	1.19760540979425	3.51459885042365	3.76471733665897	1.40431329930779	1.49930083492387	1.25431222855684	1.37939371730886	10.0604216405458	10.2033546004038
"adme-bias"	100	17.1335684229734	18.0930739463996	0.291602825492484	0.70087616452924	0.291602825492484	0.70087616452924	16.4951791559925	18.3085608211156	0.558726177363494	0.739574488081083	2.38926999806984	1.94527672914287	16.1647126920855	19.1512656266827	3.14523342083488	2.84503387314147	7.01857598016468	6.73270238292771
"adme-bias"	400	17.4445342251906	18.4224031134423	0.138943393273778	0.670215266699954	0.138943393273778	0.670215266699954	16.7170421372885	18.6765020942679	0.497761797092697	0.583697858095704	2.65433014278801	2.23609488092675	16.1463431126375	19.4200570252205	1.40312399588683	1.07375618591658	7.21158028055003	6.9570344795206
"adme-bias"	1600	17.443807460537	18.5260164454516	0.0719492365164501	0.513890349084547	0.0719492365164501	0.513890349084547	16.7844589510885	18.7164860274806	0.0598908043789034	0.531163162890998	2.54350086548185	2.16384366516224	16.1869971899993	19.5627396487524	0.757732899039958	0.673438122740129	7.34431931726764	7.14586141059791
"adme-rmse"	100	21.5068534895771	23.3200924054038	14.6864899347174	15.096160402004	14.6864899347174	15.096160402004	21.046662462552	23.3876891897263	15.9951099372199	16.3305001803899	14.8967260909715	15.1008914084374	21.4233174220944	24.2940084258343	20.603767193312	20.5742950616094	16.7798908124744	16.7431492427422
"adme-rmse"	400	18.8385312293205	20.015843036502	7.08582274939951	7.37273208993179	7.08582274939951	7.37273208993179	18.2099758486538	20.3112538167768	7.46275702927025	7.74681241669508	7.84037863579405	7.7380754840571	17.8608219548585	21.0633130068823	9.61946315942587	9.86876411613378	11.1622423617718	10.9659716671603
"adme-rmse"	1600	17.8966107137764	19.0440608810751	3.55865207179853	3.79043616674948	3.55865207179853	3.79043616674948	17.2631273701831	19.2280797435272	3.76508933770472	4.00607547009647	4.75638562988137	4.4734323752097	16.7097000398989	20.0986798458099	4.72504655424971	4.89408101282606	8.88416159099819	8.67956270416155
