"n"	"PH-0%"	"PO-0%"	"DR-cll-0%"	"DR-logit-0%"	"DR-cll-ig-0%"	"DR-logit-ig-0%"	"PH-10%"	"PO-10%"	"DR-cll-10%"	"DR-logit-10%"	"DR-cll-ig-10%"	"DR-logit-ig-10%"	"PH-30%"	"PO-30%"	"DR-cll-30%"	"DR-logit-30%"	"DR-cll-ig-30%"	"DR-logit-ig-30%"
"cdf-bias"	100	0.272033411168624	0.522758951295013	0.255387445241352	0.324467390803155	0.255387445241352	0.324467390803155	0.353792189424678	0.68915431244609	0.341602866800808	0.480821697310906	3.27380328349588	3.51745450167241	0.15325685105602	0.737458673896378	0.845475545308451	1.11569375431487	10.1862953152342	10.3909399420307
"cdf-bias"	400	0.12537728827477	0.139751585622565	0.170253362508444	0.0988748750680051	0.170253362508444	0.0988748750680051	0.141666547181009	0.146397701214025	0.137833095355505	0.0895967950402519	3.2008562466971	3.36720015151394	0.129835153854686	0.247877875053693	0.220534196339895	0.416395494272956	10.1138895880343	10.2406919132633
"cdf-bias"	1600	0.099010854105862	0.0487322809397926	0.158474121261488	0.0443964734605223	0.158474121261488	0.0443964734605223	0.121516271550414	0.0716305438010694	0.115921110331172	0.0620799630134067	3.22409560884552	3.37393046666179	0.103915861337599	0.0491029750583676	0.0812889768298156	0.133186616675568	10.1158330452069	10.2228785551178
"cdf-rmse"	100	4.1089631146788	4.14377341360832	4.23718611084896	4.2577920722061	4.23718611084896	4.2577920722061	4.44552478365718	4.47823554732278	4.66222296433887	4.70474265921323	5.39406354873874	5.55822067387807	4.87205828070117	4.90930138731104	5.41191704626228	5.4524426250699	10.9720116905628	11.1635755753672
"cdf-rmse"	400	2.08413691398039	2.08183520767472	2.11224566033023	2.11425614066835	2.11224566033023	2.11425614066835	2.15473181154755	2.15100421417009	2.18674102940714	2.1968062751899	3.81078950741054	3.95651529293261	2.37960329136481	2.3738298242476	2.4675058548148	2.51454659287531	10.3094174248459	10.4346398454178
"cdf-rmse"	1600	1.0298804553977	1.01993214828587	1.04401261397708	1.03534767579429	1.04401261397708	1.03534767579429	1.10164756582707	1.08877053936968	1.10843850556936	1.10859523477303	3.39009708635879	3.533944552495	1.23142059782924	1.22098768235536	1.25571777493433	1.27138741406252	10.1662953344504	10.2730240946563
"adme-bias"	100	3.79592043521288	0.21782700090662	0.255130639108764	0.330303075212066	0.255130639108764	0.330303075212066	3.62704542734041	0.318640652655357	0.245424490816542	0.288489067116622	1.66204877623631	1.52681143703774	3.22842647659734	0.471062793946042	0.639356244493865	0.699967676431945	4.88273069784148	4.776634072693
"adme-bias"	400	4.20442637408249	0.19240669997883	0.265817637497675	0.196379649941744	0.265817637497675	0.196379649941744	3.95543707654689	0.206629929017408	0.275471958038776	0.197909226769425	1.98147646573442	1.94230301205173	3.5367577373454	0.117266173106351	0.338547565566843	0.22853087232863	5.40270645776097	5.36431126202844
"adme-bias"	1600	4.2399240046091	0.0758615582012641	0.121634986941491	0.0751184093555019	0.121634986941491	0.0751184093555019	3.93726034312963	0.0443199450068254	0.131108302435117	0.0743902552580769	1.82547160213525	1.78734464368798	3.61557640841876	0.0221560607909257	0.11008690379025	0.0467077242161624	5.46201171711263	5.42831182570876
"adme-rmse"	100	11.1437375263836	10.7808147813912	14.3458898935474	14.4419205692229	14.3458898935474	14.4419205692229	11.365576242463	10.8416907367707	15.2935251258863	15.438319210362	13.9714614225158	14.0967363751767	12.65082183658	11.874866927231	19.4612307980757	19.5919716646815	14.7145370635468	14.8146021010309
"adme-rmse"	400	7.15242717672756	5.52866494879187	7.24247771708178	7.27553344764104	7.24247771708178	7.27553344764104	6.95112498971346	5.48842399978946	7.63098063284035	7.65890124237219	7.2909941060275	7.30691515536734	7.1579034938028	5.63820968915832	9.16727704498318	9.20909903246735	8.72677663982057	8.72326154775371
"adme-rmse"	1600	5.22660781890782	2.66043019890997	3.52611377729641	3.54004547073683	3.52611377729641	3.54004547073683	5.04040293296335	2.77815694408172	3.87368127738187	3.89714188862989	4.01756675377728	4.00595274860598	4.9895655437699	2.99247846985432	4.78173670407576	4.82307213944079	6.55322880940735	6.52817974116715
